timestamp_utc,timestamp_local,attraction_id,attraction_name,chinese_name,wait_time,is_open,last_updated
2026-02-10T13:31:09.199441+00:00,2026-02-10T21:31:09.199465,8255,Enchanted Tale of Beauty and the Beast,美女与野兽的魔法物语,0,False,2026-02-10T13:26:03.000Z
2026-02-10T13:31:09.199441+00:00,2026-02-10T21:31:09.199465,7996,Splash Mountain,飞溅山,0,False,2026-02-10T13:26:03.000Z
2026-02-10T13:31:09.199441+00:00,2026-02-10T21:31:09.199465,7994,Big Thunder Mountain,巨雷山,0,False,2026-02-10T13:26:03.000Z
2026-02-10T13:31:09.199441+00:00,2026-02-10T21:31:09.199465,8008,Pooh's Hunny Hunt,小熊维尼猎蜜记,0,False,2026-02-10T13:26:03.000Z
2026-02-10T13:31:09.199441+00:00,2026-02-10T21:31:09.199465,8005,Haunted Mansion,幽灵公馆,0,False,2026-02-10T13:26:03.000Z
2026-02-11T04:07:57.890535+00:00,2026-02-11T12:07:57.890571,8255,Enchanted Tale of Beauty and the Beast,美女与野兽的魔法物语,80,True,2026-02-11T04:06:08.000Z
2026-02-11T04:07:57.890535+00:00,2026-02-11T12:07:57.890571,7996,Splash Mountain,飞溅山,0,False,2026-02-11T04:06:08.000Z
2026-02-11T04:07:57.890535+00:00,2026-02-11T12:07:57.890571,7994,Big Thunder Mountain,巨雷山,40,True,2026-02-11T04:06:08.000Z
2026-02-11T04:07:57.890535+00:00,2026-02-11T12:07:57.890571,8008,Pooh's Hunny Hunt,小熊维尼猎蜜记,0,False,2026-02-11T04:06:08.000Z
2026-02-11T04:07:57.890535+00:00,2026-02-11T12:07:57.890571,8005,Haunted Mansion,幽灵公馆,0,False,2026-02-11T04:06:08.000Z
2026-02-11T07:05:53.285890+00:00,2026-02-11T15:05:53.285985,8255,Enchanted Tale of Beauty and the Beast,美女与野兽的魔法物语,80,True,2026-02-11T07:01:09.000Z
2026-02-11T07:05:53.285890+00:00,2026-02-11T15:05:53.285985,7996,Splash Mountain,飞溅山,0,False,2026-02-11T07:01:09.000Z
2026-02-11T07:05:53.285890+00:00,2026-02-11T15:05:53.285985,7994,Big Thunder Mountain,巨雷山,30,True,2026-02-11T07:01:09.000Z
2026-02-11T07:05:53.285890+00:00,2026-02-11T15:05:53.285985,8008,Pooh's Hunny Hunt,小熊维尼猎蜜记,50,True,2026-02-11T07:01:09.000Z
2026-02-11T07:05:53.285890+00:00,2026-02-11T15:05:53.285985,8005,Haunted Mansion,幽灵公馆,0,False,2026-02-11T07:01:09.000Z
2026-02-12T00:14:31.709797+00:00,2026-02-12T08:14:31.709870,8255,Enchanted Tale of Beauty and the Beast,美女与野兽的魔法物语,120,True,2026-02-12T00:11:06.000Z
2026-02-12T00:14:31.709797+00:00,2026-02-12T08:14:31.709870,7996,Splash Mountain,飞溅山,0,False,2026-02-12T00:11:06.000Z
2026-02-12T00:14:31.709797+00:00,2026-02-12T08:14:31.709870,7994,Big Thunder Mountain,巨雷山,5,True,2026-02-12T00:11:06.000Z
2026-02-12T00:14:31.709797+00:00,2026-02-12T08:14:31.709870,8008,Pooh's Hunny Hunt,小熊维尼猎蜜记,8,True,2026-02-12T00:11:06.000Z
2026-02-12T00:14:31.709797+00:00,2026-02-12T08:14:31.709870,8005,Haunted Mansion,幽灵公馆,0,False,2026-02-12T00:11:06.000Z
2026-02-12T00:39:44.469971+00:00,2026-02-12T08:39:44.469997,8255,Enchanted Tale of Beauty and the Beast,美女与野兽的魔法物语,160,True,2026-02-12T00:36:08.000Z
2026-02-12T00:39:44.469971+00:00,2026-02-12T08:39:44.469997,7996,Splash Mountain,飞溅山,0,False,2026-02-12T00:36:08.000Z
2026-02-12T00:39:44.469971+00:00,2026-02-12T08:39:44.469997,7994,Big Thunder Mountain,巨雷山,90,True,2026-02-12T00:36:08.000Z
